time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-17T09:27:58.670Z,38.154,-117.9185,11.3,0.6,ml,14,109.31,0.033,0.06,nn,nn00779101,2020-10-17T10:49:27.686Z,earthquake,,1,,,automatic,nn,nn
2020-10-17T09:26:34.650Z,35.6686667,-117.5153333,0.81,0.75,ml,9,136,0.09271,0.15,ci,ci39665920,2020-10-17T16:27:37.226Z,earthquake,0.44,0.79,0.118,9,reviewed,ci,ci
2020-10-17T09:18:41.410Z,33.1765,-115.643,2.64,1.17,ml,17,68,0.01836,0.21,ci,ci39665912,2020-10-17T09:22:24.413Z,earthquake,0.5,0.52,0.228,11,automatic,ci,ci
2020-10-17T09:18:30.660Z,38.1687,-117.966,5.9,1.3,ml,11,109.25,0.03,0.12,nn,nn00779099,2020-10-17T09:29:27.138Z,earthquake,,0.8,,,automatic,nn,nn
2020-10-17T09:17:59.045Z,56.2315,-154.6353,33.2,3.9,ml,,,,0.57,ak,ak020ddeuntl,2020-10-17T09:37:21.815Z,earthquake,,1,,,reviewed,ak,ak
2020-10-17T09:07:45.220Z,35.7695,-117.6106667,9.75,0.7,ml,12,127,0.04736,0.23,ci,ci39665904,2020-10-17T09:11:16.399Z,earthquake,0.52,1.09,0.188,8,automatic,ci,ci
2020-10-17T08:57:49.990Z,37.5365,-118.9813333,3.52,0.59,md,15,159,0.0822,0.04,nc,nc73471806,2020-10-17T16:12:04.490Z,earthquake,0.33,1.02,0.184,13,reviewed,nc,nc
2020-10-17T08:56:51.690Z,35.7583333,-117.6028333,10.41,1.19,ml,17,136,0.05745,0.17,ci,ci39665896,2020-10-17T16:28:10.822Z,earthquake,0.34,0.59,0.19,14,reviewed,ci,ci
2020-10-17T08:46:58.484Z,63.1629,-151.5961,9.5,0.9,ml,,,,0.9,ak,ak020ddefeiw,2020-10-17T10:00:29.573Z,earthquake,,0.5,,,reviewed,ak,ak
2020-10-17T08:46:13.650Z,19.23600006,-155.3755035,30.97999954,1.73000002,md,37,166,,0.140000001,hv,hv72184341,2020-10-17T08:49:32.480Z,earthquake,0.75,0.930000007,0.74000001,3,automatic,hv,hv
2020-10-17T08:44:22.050Z,36.0256653,-120.6064987,1.63,1.38,md,9,186,0.05893,0.09,nc,nc73471801,2020-10-17T09:57:05.949Z,earthquake,0.75,6.88,0.07,5,automatic,nc,nc
2020-10-17T08:31:23.190Z,38.1343,-117.9643,11.8,1.5,ml,18,76.88,0.019,0.07,nn,nn00779091,2020-10-17T08:36:08.188Z,earthquake,,0.6,,,automatic,nn,nn
2020-10-17T08:28:27.570Z,38.1488,-117.9552,13.6,1.4,ml,25,76.47,0.02,0.08,nn,nn00779087,2020-10-17T08:31:49.137Z,earthquake,,0.5,,,automatic,nn,nn
2020-10-17T08:22:44.960Z,38.8009987,-122.7741699,3.59,0.55,md,9,161,0.0113,0.01,nc,nc73471791,2020-10-17T09:17:04.710Z,earthquake,0.56,1.51,,1,automatic,nc,nc
2020-10-17T08:16:12.888Z,60.0428,-141.5089,18.9,1.6,ml,,,,0.24,ak,ak020dde8wwu,2020-10-17T08:21:07.799Z,earthquake,,0.2,,,automatic,ak,ak
2020-10-17T08:10:45.030Z,36.1013333,-117.8648333,1.62,0.87,ml,13,161,0.01811,0.13,ci,ci39665888,2020-10-17T08:14:18.984Z,earthquake,0.36,0.23,0.144,8,automatic,ci,ci
2020-10-17T08:08:01.576Z,-3.6826,134.7803,45.61,4.4,mb,,149,2.638,0.53,us,us6000c8y4,2020-10-17T08:32:34.040Z,earthquake,8.1,9.1,0.106,26,reviewed,us,us
2020-10-17T07:55:08.260Z,19.46349907,-155.610672,-1.960000038,2.29,ml,27,44,,0.379999995,hv,hv72184291,2020-10-17T08:00:39.030Z,earthquake,0.45,0.550000012,0.6,9,automatic,hv,hv
2020-10-17T07:54:33.820Z,19.40683365,-155.2983398,0.569999993,2.66,ml,14,83,,0.140000001,hv,hv72184286,2020-10-17T08:00:04.570Z,earthquake,0.26,0.140000001,0.73,6,automatic,hv,hv
2020-10-17T07:52:50.760Z,38.1645,-117.8828,12.2,1.5,ml,15,67.42,0.018,0.13,nn,nn00779085,2020-10-17T08:29:27.804Z,earthquake,,0.9,,,automatic,nn,nn
2020-10-17T07:47:00.935Z,61.2306,-149.5548,20.6,2,ml,,,,0.76,ak,ak020dddu3mq,2020-10-17T08:19:27.398Z,earthquake,,0.4,,,automatic,ak,ak
2020-10-17T07:43:19.810Z,38.8013344,-122.8183365,3.23,0.78,md,15,78,0.01133,0.02,nc,nc73471786,2020-10-17T08:52:05.549Z,earthquake,0.33,0.82,0.14,2,automatic,nc,nc
2020-10-17T07:31:08.140Z,18.0338,-66.8005,15,2.67,md,21,119,0.0982,0.13,pr,pr2020291003,2020-10-17T08:50:24.836Z,earthquake,0.33,0.45,0.34,13,reviewed,pr,pr
2020-10-17T07:30:41.290Z,40.3300018,-124.8341675,15.37,2.36,md,15,322,0.4407,0.28,nc,nc73471796,2020-10-17T15:32:52.232Z,earthquake,19.5,8.11,0.23,6,automatic,nc,nc
2020-10-17T07:12:44.060Z,35.3668333,-85.2135,17.99,2.26,md,16,59,0.1587,0.14,se,se60312452,2020-10-17T13:54:48.250Z,earthquake,0.33,0.6,0.152,15,reviewed,se,se
2020-10-17T07:12:28.020Z,19.21633339,-155.4069977,31.18000031,1.84000003,md,43,152,,0.109999999,hv,hv72184216,2020-10-17T07:15:41.060Z,earthquake,0.73,0.860000014,1.37,6,automatic,hv,hv
2020-10-17T07:11:47.320Z,44.3035,-115.213,7.58,2.05,ml,9,70,0.25,0.26,mb,mb80470689,2020-10-17T14:44:21.750Z,earthquake,0.6,1.61,0.19,9,reviewed,mb,mb
2020-10-17T07:07:37.230Z,38.8156662,-122.8125,3.26,0.62,md,12,78,0.007947,0.03,nc,nc73471776,2020-10-17T07:30:04.090Z,earthquake,0.36,1.1,0.35,2,automatic,nc,nc
2020-10-17T06:51:30.570Z,44.6691667,-111.8848333,14.62,0.97,ml,9,126,0.168,0.28,mb,mb80470684,2020-10-17T14:06:15.890Z,earthquake,0.94,1.73,0.068,6,reviewed,mb,mb
2020-10-17T06:47:13.700Z,33.5971667,-116.8031667,6.33,0.29,ml,22,74,0.03279,0.17,ci,ci39665872,2020-10-17T06:51:00.628Z,earthquake,0.33,0.67,0.178,8,automatic,ci,ci
2020-10-17T06:46:23.466Z,61.0001,-141.2294,8.6,1.8,ml,,,,0.5,ak,ak020ddd8i2y,2020-10-17T06:50:48.493Z,earthquake,,0.2,,,automatic,ak,ak
2020-10-17T06:44:18.530Z,39.684,-119.9232,5.5,0.7,ml,8,99.92,0.076,0.1,nn,nn00779084,2020-10-17T07:53:46.196Z,earthquake,,0.8,,,automatic,nn,nn
2020-10-17T06:41:57.890Z,38.8321648,-122.800499,2.35,0.95,md,15,71,0.01009,0.01,nc,nc73471771,2020-10-17T06:58:05.879Z,earthquake,0.32,0.76,0.24,2,automatic,nc,nc
2020-10-17T06:34:14.550Z,33.2496667,-116.3248333,11.09,0.8,ml,25,49,0.07954,0.19,ci,ci39665864,2020-10-17T16:28:29.509Z,earthquake,0.32,0.51,0.107,14,reviewed,ci,ci
2020-10-17T06:33:18.620Z,35.8566667,-117.6811667,6.37,0.53,ml,12,81,0.0793,0.09,ci,ci39665856,2020-10-17T16:29:04.512Z,earthquake,0.24,0.55,0.071,6,reviewed,ci,ci
2020-10-17T06:29:34.080Z,36.0338326,-120.5940018,4.87,2.27,md,22,157,0.05252,0.04,nc,nc73471766,2020-10-17T07:34:06.120Z,earthquake,0.36,0.34,0.12,13,automatic,nc,nc
2020-10-17T06:16:48.270Z,35.88,-117.6925,9.07,0.96,ml,18,76,0.07589,0.1,ci,ci39665840,2020-10-17T16:29:51.650Z,earthquake,0.2,0.49,0.206,14,reviewed,ci,ci
2020-10-17T06:15:11.520Z,37.6335,-118.8968333,2.75,0.97,md,18,84,0.008829,0.08,nc,nc73471761,2020-10-17T16:34:07.601Z,earthquake,0.26,0.53,0.249,14,reviewed,nc,nc
